date,time_period,usage,is_free
2024-12-31,00:00 - 00:30,0.045,No
2024-12-31,00:30 - 01:00,0.053,No
2024-12-31,01:00 - 01:30,0.035,No
2024-12-31,01:30 - 02:00,0.05,No
2024-12-31,02:00 - 02:30,0.029,No
2024-12-31,02:30 - 03:00,0.045,No
2024-12-31,03:00 - 03:30,0.027,No
2024-12-31,03:30 - 04:00,0.028,No
2024-12-31,04:00 - 04:30,0.046,No
2024-12-31,04:30 - 05:00,0.027,No
2024-12-31,05:00 - 05:30,0.035,No
2024-12-31,05:30 - 06:00,0.038,No
2024-12-31,06:00 - 06:30,1.642,Yes
2024-12-31,06:30 - 07:00,1.666,Yes
2024-12-31,07:00 - 07:30,0.036,No
2024-12-31,07:30 - 08:00,0.026,No
2024-12-31,08:00 - 08:30,0.281,No
2024-12-31,08:30 - 09:00,0.131,No
2024-12-31,09:00 - 09:30,0.059,No
2024-12-31,09:30 - 10:00,0.089,No
2024-12-31,10:00 - 10:30,0.09,No
2024-12-31,10:30 - 11:00,0.074,No
2024-12-31,11:00 - 11:30,0.06,No
2024-12-31,11:30 - 12:00,0.05,No
2024-12-31,12:00 - 12:30,0.091,No
2024-12-31,12:30 - 13:00,0.071,No
2024-12-31,13:00 - 13:30,1.587,No
2024-12-31,13:30 - 14:00,0.41,No
2024-12-31,14:00 - 14:30,0.024,No
2024-12-31,14:30 - 15:00,0.038,No
2024-12-31,15:00 - 15:30,0.041,No
2024-12-31,15:30 - 16:00,0.025,No
2024-12-31,16:00 - 16:30,0.046,No
2024-12-31,16:30 - 17:00,0.079,No
2024-12-31,17:00 - 17:30,0.079,No
2024-12-31,17:30 - 18:00,0.189,No
2024-12-31,18:00 - 18:30,0.325,No
2024-12-31,18:30 - 19:00,0.025,No
2024-12-31,19:00 - 19:30,0.046,No
2024-12-31,19:30 - 20:00,0.028,No
2024-12-31,20:00 - 20:30,0.025,No
2024-12-31,20:30 - 21:00,0.053,No
2024-12-31,21:00 - 21:30,1.627,Yes
2024-12-31,21:30 - 22:00,2.024,Yes
2024-12-31,22:00 - 22:30,1.95,Yes
2024-12-31,22:30 - 23:00,0.425,Yes
2024-12-31,23:00 - 23:30,0.073,Yes
2024-12-31,23:30 - 00:00,0.094,Yes
2024-12-30,00:00 - 00:30,0.028,No
2024-12-30,00:30 - 01:00,0.029,No
2024-12-30,01:00 - 01:30,0.027,No
2024-12-30,01:30 - 02:00,0.028,No
2024-12-30,02:00 - 02:30,0.027,No
2024-12-30,02:30 - 03:00,0.03,No
2024-12-30,03:00 - 03:30,0.028,No
2024-12-30,03:30 - 04:00,0.027,No
2024-12-30,04:00 - 04:30,0.027,No
2024-12-30,04:30 - 05:00,0.025,No
2024-12-30,05:00 - 05:30,0.026,No
2024-12-30,05:30 - 06:00,0.026,No
2024-12-30,06:00 - 06:30,1.586,Yes
2024-12-30,06:30 - 07:00,0.594,Yes
2024-12-30,07:00 - 07:30,0.026,No
2024-12-30,07:30 - 08:00,0.025,No
2024-12-30,08:00 - 08:30,0.035,No
2024-12-30,08:30 - 09:00,1.938,No
2024-12-30,09:00 - 09:30,0.301,No
2024-12-30,09:30 - 10:00,0.049,No
2024-12-30,10:00 - 10:30,0.025,No
2024-12-30,10:30 - 11:00,0.025,No
2024-12-30,11:00 - 11:30,0.025,No
2024-12-30,11:30 - 12:00,0.066,No
2024-12-30,12:00 - 12:30,0.07,No
2024-12-30,12:30 - 13:00,0.106,No
2024-12-30,13:00 - 13:30,2.103,No
2024-12-30,13:30 - 14:00,1.676,No
2024-12-30,14:00 - 14:30,0.116,No
2024-12-30,14:30 - 15:00,0.074,No
2024-12-30,15:00 - 15:30,0.071,No
2024-12-30,15:30 - 16:00,0.061,No
2024-12-30,16:00 - 16:30,0.056,No
2024-12-30,16:30 - 17:00,0.053,No
2024-12-30,17:00 - 17:30,0.06,No
2024-12-30,17:30 - 18:00,0.195,No
2024-12-30,18:00 - 18:30,0.858,No
2024-12-30,18:30 - 19:00,0.281,No
2024-12-30,19:00 - 19:30,0.349,No
2024-12-30,19:30 - 20:00,0.029,No
2024-12-30,20:00 - 20:30,0.109,No
2024-12-30,20:30 - 21:00,0.084,No
2024-12-30,21:00 - 21:30,2.468,Yes
2024-12-30,21:30 - 22:00,2.953,Yes
2024-12-30,22:00 - 22:30,2.273,Yes
2024-12-30,22:30 - 23:00,1.829,Yes
2024-12-30,23:00 - 23:30,0.089,Yes
2024-12-30,23:30 - 00:00,0.052,Yes
2024-12-29,00:00 - 00:30,0.026,No
2024-12-29,00:30 - 01:00,0.044,No
2024-12-29,01:00 - 01:30,0.029,No
2024-12-29,01:30 - 02:00,0.076,No
2024-12-29,02:00 - 02:30,0.082,No
2024-12-29,02:30 - 03:00,0.035,No
2024-12-29,03:00 - 03:30,0.046,No
2024-12-29,03:30 - 04:00,0.028,No
2024-12-29,04:00 - 04:30,0.045,No
2024-12-29,04:30 - 05:00,0.026,No
2024-12-29,05:00 - 05:30,0.044,No
2024-12-29,05:30 - 06:00,0.028,No
2024-12-29,06:00 - 06:30,1.603,Yes
2024-12-29,06:30 - 07:00,0.043,Yes
2024-12-29,07:00 - 07:30,0.033,No
2024-12-29,07:30 - 08:00,0.477,No
2024-12-29,08:00 - 08:30,0.157,No
2024-12-29,08:30 - 09:00,0.045,No
2024-12-29,09:00 - 09:30,0.034,No
2024-12-29,09:30 - 10:00,0.237,No
2024-12-29,10:00 - 10:30,0.039,No
2024-12-29,10:30 - 11:00,0.031,No
2024-12-29,11:00 - 11:30,0.046,No
2024-12-29,11:30 - 12:00,0.025,No
2024-12-29,12:00 - 12:30,0.045,No
2024-12-29,12:30 - 13:00,0.031,No
2024-12-29,13:00 - 13:30,1.569,No
2024-12-29,13:30 - 14:00,0.488,No
2024-12-29,14:00 - 14:30,0.025,No
2024-12-29,14:30 - 15:00,0.046,No
2024-12-29,15:00 - 15:30,0.032,No
2024-12-29,15:30 - 16:00,0.039,No
2024-12-29,16:00 - 16:30,0.092,No
2024-12-29,16:30 - 17:00,0.295,No
2024-12-29,17:00 - 17:30,0.189,No
2024-12-29,17:30 - 18:00,0.734,No
2024-12-29,18:00 - 18:30,0.064,No
2024-12-29,18:30 - 19:00,0.089,No
2024-12-29,19:00 - 19:30,0.163,No
2024-12-29,19:30 - 20:00,0.055,No
2024-12-29,20:00 - 20:30,0.047,No
2024-12-29,20:30 - 21:00,0.047,No
2024-12-29,21:00 - 21:30,1.71,Yes
2024-12-29,21:30 - 22:00,2.113,Yes
2024-12-29,22:00 - 22:30,2.143,Yes
2024-12-29,22:30 - 23:00,1.673,Yes
2024-12-29,23:00 - 23:30,0.079,Yes
2024-12-29,23:30 - 00:00,0.027,Yes
2024-12-28,00:00 - 00:30,0.074,No
2024-12-28,00:30 - 01:00,0.051,No
2024-12-28,01:00 - 01:30,0.056,No
2024-12-28,01:30 - 02:00,0.028,No
2024-12-28,02:00 - 02:30,0.049,No
2024-12-28,02:30 - 03:00,0.03,No
2024-12-28,03:00 - 03:30,0.049,No
2024-12-28,03:30 - 04:00,0.028,No
2024-12-28,04:00 - 04:30,0.043,No
2024-12-28,04:30 - 05:00,0.034,No
2024-12-28,05:00 - 05:30,0.029,No
2024-12-28,05:30 - 06:00,0.045,No
2024-12-28,06:00 - 06:30,1.583,Yes
2024-12-28,06:30 - 07:00,1.563,Yes
2024-12-28,07:00 - 07:30,0.031,No
2024-12-28,07:30 - 08:00,0.029,No
2024-12-28,08:00 - 08:30,0.045,No
2024-12-28,08:30 - 09:00,0.501,No
2024-12-28,09:00 - 09:30,0.593,No
2024-12-28,09:30 - 10:00,0.06,No
2024-12-28,10:00 - 10:30,0.146,No
2024-12-28,10:30 - 11:00,0.119,No
2024-12-28,11:00 - 11:30,0.109,No
2024-12-28,11:30 - 12:00,0.074,No
2024-12-28,12:00 - 12:30,0.106,No
2024-12-28,12:30 - 13:00,0.154,No
2024-12-28,13:00 - 13:30,1.838,No
2024-12-28,13:30 - 14:00,0.175,No
2024-12-28,14:00 - 14:30,0.123,No
2024-12-28,14:30 - 15:00,0.07,No
2024-12-28,15:00 - 15:30,0.091,No
2024-12-28,15:30 - 16:00,0.028,No
2024-12-28,16:00 - 16:30,0.051,No
2024-12-28,16:30 - 17:00,0.136,No
2024-12-28,17:00 - 17:30,0.091,No
2024-12-28,17:30 - 18:00,0.052,No
2024-12-28,18:00 - 18:30,0.804,No
2024-12-28,18:30 - 19:00,0.185,No
2024-12-28,19:00 - 19:30,0.068,No
2024-12-28,19:30 - 20:00,0.042,No
2024-12-28,20:00 - 20:30,0.038,No
2024-12-28,20:30 - 21:00,0.045,No
2024-12-28,21:00 - 21:30,1.605,Yes
2024-12-28,21:30 - 22:00,2.035,Yes
2024-12-28,22:00 - 22:30,1.956,Yes
2024-12-28,22:30 - 23:00,0.11,Yes
2024-12-28,23:00 - 23:30,0.085,Yes
2024-12-28,23:30 - 00:00,0.044,Yes
2024-12-27,00:00 - 00:30,0.05,No
2024-12-27,00:30 - 01:00,0.039,No
2024-12-27,01:00 - 01:30,0.032,No
2024-12-27,01:30 - 02:00,0.046,No
2024-12-27,02:00 - 02:30,0.029,No
2024-12-27,02:30 - 03:00,0.028,No
2024-12-27,03:00 - 03:30,0.047,No
2024-12-27,03:30 - 04:00,0.03,No
2024-12-27,04:00 - 04:30,0.027,No
2024-12-27,04:30 - 05:00,0.038,No
2024-12-27,05:00 - 05:30,0.034,No
2024-12-27,05:30 - 06:00,0.027,No
2024-12-27,06:00 - 06:30,1.621,Yes
2024-12-27,06:30 - 07:00,0.14,Yes
2024-12-27,07:00 - 07:30,0.026,No
2024-12-27,07:30 - 08:00,0.026,No
2024-12-27,08:00 - 08:30,0.046,No
2024-12-27,08:30 - 09:00,0.026,No
2024-12-27,09:00 - 09:30,0.374,No
2024-12-27,09:30 - 10:00,0.085,No
2024-12-27,10:00 - 10:30,0.026,No
2024-12-27,10:30 - 11:00,0.025,No
2024-12-27,11:00 - 11:30,0.084,No
2024-12-27,11:30 - 12:00,0.076,No
2024-12-27,12:00 - 12:30,0.033,No
2024-12-27,12:30 - 13:00,0.039,No
2024-12-27,13:00 - 13:30,2.058,No
2024-12-27,13:30 - 14:00,1.899,No
2024-12-27,14:00 - 14:30,0.074,No
2024-12-27,14:30 - 15:00,0.025,No
2024-12-27,15:00 - 15:30,0.069,No
2024-12-27,15:30 - 16:00,0.069,No
2024-12-27,16:00 - 16:30,0.081,No
2024-12-27,16:30 - 17:00,0.312,No
2024-12-27,17:00 - 17:30,0.167,No
2024-12-27,17:30 - 18:00,0.12,No
2024-12-27,18:00 - 18:30,0.096,No
2024-12-27,18:30 - 19:00,0.71,No
2024-12-27,19:00 - 19:30,0.079,No
2024-12-27,19:30 - 20:00,0.065,No
2024-12-27,20:00 - 20:30,0.05,No
2024-12-27,20:30 - 21:00,0.028,No
2024-12-27,21:00 - 21:30,1.604,Yes
2024-12-27,21:30 - 22:00,1.804,Yes
2024-12-27,22:00 - 22:30,2.157,Yes
2024-12-27,22:30 - 23:00,2.1,Yes
